idPan;panNome;panNomeCompleto;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
CENAP_14.01;Pequenos Mamíferos de Áreas Florestais;Plano de Ação Nacional para a Conservação dos Pequenos Mamíferos de Áreas Florestais;Pequenos Mamíferos de Áreas Florestais;Intraclasse;Nacional;1º ciclo;Em execução;CENAP;04/07/2022;2022;04/07/2022;01/08/2022;02/08/2027;2027;Portaria 561 (4/07/2022);02068.000063/2019-25;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-mamiferos-areas-florestais
CENAP_15.03;(Previsto) Ariranha - 3º ciclo;Plano de Ação Nacional para a Conservação da Ariranha (Pteronura brasiliensis);Ariranha;Monoespecífico;Específico (distribuição da espécie);3º ciclo;Previsto;CENAP;Previsto;Previsto;;;;;;02070.004196/2010-93;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ariranha
CEPAM_01.01;(Finalizado) Baixo e Médio Xingu;Plano de Ação Nacional para Conservação das Espécies Endêmicas Ameaçadas de Extinção da Fauna da Região do Baixo e Médio Xingu;Baixo e Médio Xingu;Multiclasse;Bacia;1º ciclo;Finalizado;CEPAM;17/02/2012;2012;17/02/2012;17/02/2012;11/03/2019;2019;Portaria 16 (17/02/2012);02070.001962/0110-0;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-xingu
CEPAM_02.01;Peixes Amazônicos;Plano de Ação Nacional para a Conservação de Espécies de Peixes Ameaçados de Extinção da Amazônia;Peixes Amazônicos;Multiclasse;Bioma;1º ciclo;Em execução;CEPAM;01/08/2019;2019;01/08/2019;01/08/2019;01/07/2024;2024;Portaria 374 (01/08/2019);02083000012/2018-24;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-peixes-amazonicos
CEPENE_01.01;Peixe-boi Marinho;Plano de Ação Nacional para Conservação dos Peixes-bois Marinhos (Trichechus manatus);Peixe-boi Marinho;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Em execução;CMA;04/04/2018;2018;04/04/2018;04/04/2018;01/02/2023;2023;Portaria 249 (04/04/2018);02030.000037/2017-62;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-peixe-boi-marinho
CEPSUL_01.01;(Finalizado) Tubarões - 1º ciclo;Plano de Ação Nacional para a Conservação dos Tubarões e Raias Marinhas Ameaçados de Extinção;Tubarões;Intraclasse;Bioma;1º ciclo;Em execução;CEPSUL;04/12/2014;2014;04/12/2014;04/12/2014;01/07/2019;2019;Portaria 125 (04/12/2014);02070.002911/ 2011-34;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tubaroes
CEPSUL_02.01;Corais;Plano de Ação Nacional para a Conservação dos Ambientes Coralíneos;Corais;Multiclasse;Ecossistema;1º ciclo;Em execução;CEPSUL;09/03/2016;2016;09/03/2016;09/03/2016;01/02/2021;2021;Portaria 19 (09/03/2016);02070.001393/2013-01;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-corais
CEPSUL_03.01;Lagoas do Sul;Plano de Ação Nacional para a Conservação dos Sistemas Lacustres e Lagunares do Sul do Brasil;Lagoas do Sul;Multiclasse;Ecossistema;1º ciclo;Em execução;CEPSUL;27/08/2018;2018;27/08/2018;27/08/2018;01/09/2023;2023;Portaria 751 (27/08/2018);02032.010059/2016-30;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-lagoas-do-sul
CEPSUL_04.02;(Previsto) Tubarões - 2º ciclo;Plano de Ação Nacional para a Conservação dos Tubarões e Raias Marinhas Ameaçados de Extinção;Tubarões;Intraclasse;Bioma;2º ciclo;Previsto;CEPSUL;Previsto;Previsto;;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tubaroes
CEPSUL_05.02;(Previsto) Corais - 2º ciclo;Plano de Ação Nacional para a Conservação dos Ambientes Coralíneos;Corais;Multiclasse;Ecossistema;2º ciclo;Previsto;CEPSUL;Previsto;Previsto;;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-corais
CEPTA_01.01;Paraíba do Sul;Plano de Ação Nacional para Conservação das Espécies Aquáticas Ameaçadas de Extinção do Rio Paraíba do Sul;Paraíba do Sul;Multiclasse;Bacia;1º ciclo;Em execução;CEPTA;14/12/2010;2010;04/04/2018;04/04/2018;01/12/2020;2020;Portaria 284 (04/04/2018);02031.000099/2009-54;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-paraiba-do-sul
CEPTA_02.01;(Finalizado) Mogi/Pardo/Sapucaí-Mirim/Grande - 1º ciclo;Plano de Ação Nacional para a Conservação das Espécies da Fauna Aquática Ameaçadas de Extinção do Ecossistema Mogi/Pardo/Sapucaí-Mirim/Grande;Mogi/Pardo/Sapucaí-Mirim/Grande;Multiclasse;Bacia;1º ciclo;Em execução;CEPTA;17/02/2012;2012;16/01/2017;16/01/2017;01/02/2020;2020;Portaria 20 (16/01/2017);02031.000021/2011-54;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mogi-pardo-sapucai-mirim-grande
CEPTA_03.01;(Finalizado) Rivulideos - 1º ciclo;Plano de Ação Nacional para a Conservação dos Peixes Rivulídeos Ameaçados de Extinção;Rivulideos;Multiclasse;Nacional;1º ciclo;Finalizado;CEPTA;19/06/2013;2013;19/06/2013;19/06/2013;01/05/2018;2018;Portaria 198 (19/06/2013);02031.000001/2012-64;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-rivulideos
CEPTA_04.01;(Finalizado) São Francisco - 1º ciclo;Plano de Ação Nacional para Conservação das Espécies Ameaçadas de Extinção da Fauna Aquática da Bacia do Rio São Francisco;São Francisco;Intraclasse;Bacia;1º ciclo;Finalizado;CEPTA;27/05/2015;2015;27/05/2015;27/05/2015;27/05/2020;2020;Portaria 34 (27/05/2015);02031.000013/2013-70;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sao-francisco
CEPTA_05.01;Baixo Iguaçu;Plano de Ação Nacional para a Conservação das Espécies Ameaçadas de Extinção da Fauna Aquática e Semiaquática da Bacia do Baixo Iguaçu;Baixo Iguaçu;Multiclasse;Bacia;1º ciclo;Em execução;CEPTA;24/11/2017;2017;24/11/2017;24/11/2017;01/12/2022;2022;Portaria 767 (24/11/2017);02031.010037/2016-80;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-baixo-iguacu
CEPTA_06.01;Peixes e Eglas da Mata Atlântica;Plano de Ação Nacional para a Conservação de Espécies de Peixes e Eglas Ameaçados de Extinção da Mata Atlântica;Peixes da Mata Atlântica;Multiclasse;Bacia;1º ciclo;Em execução;CEPTA;01/08/2019;2019;01/08/2019;01/08/2019;01/07/2024;2024;Portaria 370 (01/08/2019);02031000220/2017-58;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-peixes-e-eglas-da-ma
CEPTA_07.02;Rivulideos - 2º ciclo;Plano de Ação Nacional para a Conservação dos Peixes Rivulídeos Ameaçados de Extinção;Rivulideos;Intraclasse;Nacional;2º ciclo;Em execução;CEPTA;04/07/2022;2022;04/07/2022;01/08/2022;01/07/2027;2027;Portaria 493 (21/06/2022);02031.000032/2019-91;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-rivulideos
CEPTA_08.02;São Francisco - 2º ciclo;Plano de Ação Nacional para Conservação das Espécies Ameaçadas de Extinção da Fauna Aquática da Bacia do Rio São Francisco;São Francisco;Intraclasse;Bacia;2º ciclo;Em execução;CEPTA;01/02/2023;2023;01/02/2023;01/03/2023;01/02/2028;2028;Portaria 124 (16/01/2023);02031.000049/2021-63;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sao-francisco
CEPTA_09.01;(Previsto) Alto Paraná - 1º ciclo;Plano de Ação Nacional para a Conservação das Espécies de Peixes Ameaçadas de Extinção da Bacia do Alto Rio Paraná;Alto Paraná;Multiclasse;Bacia;1º ciclo;Previsto;CEPTA;Previsto;Previsto;;;;;;02031.000143/2021-12;;
CEPTA_10.02;(Previsto) Paraíba do Sul - 2º ciclo;Plano de Ação Nacional para Conservação das Espécies Aquáticas Ameaçadas de Extinção do Rio Paraíba do Sul;Paraíba do Sul;Multiclasse;Bacia;2º ciclo;Previsto;CEPTA;Previsto;Previsto;;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-paraiba-do-sul
CMA_01.01;(Finalizado) Grandes Cetáceos e Pinípedes;Plano de Ação Nacional para Conservação dos Mamíferos Aquáticos Grandes Cetáceos e Pinípedes;Grandes Cetáceos e Pinípedes;Multiclasse;Bioma;1º ciclo;Finalizado;CMA;27/08/2010;2010;27/08/2010;27/08/2010;01/08/2020;2020;Portaria 96 (27/08/2010);02070.003686/2009-39;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-grandes-cetaceos-e-pinipedes
CMA_02.01;(Finalizado) Pequenos Cetáceos;Plano de Ação Nacional para Conservação dos Pequenos Cetáceos;Pequenos Cetáceos;Intraclasse;Específico (distribuição da espécie);1º ciclo;Finalizado;CMA;27/08/2010;2010;27/08/2010;27/08/2010;01/08/2015;2015;Portaria 86 (27/08/2010);02070.001447/2010-88;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-cetaceos
CMA_03.01;(Finalizado) Toninha - 1º ciclo;Plano de Ação Nacional para Conservação da Toninha;Toninha;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CMA;27/08/2010;2010;27/08/2010;27/08/2010;01/09/2015;2015;Portaria 91 (27/08/2010);02070.000483/2008-18;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-toninha
CMA_04.01;(Finalizado) Sirênios;Plano de Ação Nacional para a Conservação dos Sirênios (Trichechus inunguis e Trichechus manatus);Sirênios;Intraclasse;Específico (distribuição da espécie);1º ciclo;Finalizado;CMA;27/08/2010;2010;27/08/2010;27/08/2010;01/08/2015;2015;Portaria 85 (27/08/2010);02070.004216/2010-26;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sirenios
CMA_05.01;Mamíferos Aquáticos Amazônicos;Plano de Ação Nacional para Conservação de Mamíferos Aquáticos Amazônicos Ameaçados de Extinção;Mamíferos Aquáticos Amazônicos;Intraclasse;Bioma;1º ciclo;Em execução;CMA;16/01/2019;2019;16/01/2019;16/01/2019;01/01/2024;2024;Portaria 19 (16/01/2019);02034000085/2018-00;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mamiferos-aquaticos-amazonicos
CMA_06.01;Cetáceos Marinhos;Plano de Ação Nacional para Conservação de Cetáceos Marinhos Ameaçados de Extinção;Cetáceos Marinhos;Intraclasse;Bioma;1º ciclo;Em execução;CMA;01/08/2019;2019;01/08/2019;01/08/2019;01/07/2024;2024;Portaria 375 (01/08/2019);02034000088/2018-35;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cetaceos-marinhos
CMA_07.02;Toninha - 2º ciclo;Plano de Ação Nacional para Conservação da Toninha;Toninha;Monoespecífico;Específico (distribuição da espécie);2º ciclo;Em execução;CMA;04/11/2019;2019;04/11/2019;04/11/2019;01/09/2024;2024;Portaria 655 (04/11/2019) ;02034.000033/2019-14;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-toninha
CNPT_01.01;(Finalizado) Manguezal;Plano de Ação Nacional para Conservação das Espécies Ameaçadas e de Importância Socioeconômica do Ecossistema Manguezal;Manguezal;Multiclasse;Ecossistema;1º ciclo;Finalizado;CNPT;29/01/2015;2015;10/09/2019;10/09/2019;01/01/2020;2020;Portaria 500 (10/09/2019);02177.000048/2018-69;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-manguezal
CPB_01.01;(Finalizado) Muriquis;Plano de Ação Nacional para a Conservação dos Muriquis (Brachyteles hypoxanthus e Brachyteles arachnoides);Muriquis;Intraclasse;Específico (distribuição da espécie);1º ciclo;Finalizado;CPB;27/08/2010;2010;27/08/2010;27/08/2010;01/08/2015;2015;Portaria 87 (27/08/2010);02070.002662/2010-04;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-muriquis
CPB_02.01;(Finalizado) Ouriço Preto;Plano de Ação Nacional para a Conservação do Ouriço-preto (Chaetomys subspinosus);Ouriço Preto;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CPB;27/08/2010;2010;27/08/2010;27/08/2010;01/09/2015;2015;Portaria 90 (27/08/2010);0270.003689/2009-72;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ourico-preto
CPB_03.01;(Finalizado) Mamíferos da Mata Atlântica Central;Plano de Ação Nacional para Conservação dos Mamíferos da Mata Atlântica Central;Mamíferos da Mata Atlântica Central;Intraclasse;Bioma;1º ciclo;Finalizado;CPB;23/12/2010;2010;23/12/2010;23/12/2010;23/12/2015;2015;Portaria 134 (23/12/2010);02070.004236/2010-05;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mamiferos-da-mata-atlantica-central
CPB_04.01;(Finalizado) Sauim-de-coleira;Plano de Ação Nacional para a Conservação do Sauim-de-coleira;Sauim-de-coleira;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CPB;02/12/2011;2011;02/12/2011;02/12/2011;01/12/2016;2016;Portaria 94 (02/12/2011);02070.001873/2011-01;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sauim-de-coleira
CPB_05.01;(Finalizado) Primatas do Nordeste;Plano de Ação Nacional para a Conservação dos Primatas do Nordeste;Primatas do Nordeste;Intraclasse;Bioma;1º ciclo;Finalizado;CPB;23/03/2012;2012;23/03/2012;23/03/2012;01/12/2016;2016;Portaria 37 (23/03/2012);02070.002934/2011-49;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-primatas-do-nordeste
CPB_06.01;(Finalizado) Tatu-bola;Plano de Ação Nacional para Conservação do Tatu-bola;Tatu-bola;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CPB;22/05/2014;2014;13/04/2018;13/04/2018;01/06/2019;2019;Portaria 332 (13/04/2018);02070.001092/2014-51;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tatu-bola
CPB_07.01;Primatas Amazônicos;Plano de Ação Nacional para a Conservação dos Primatas Amazônicos;Primatas Amazônicos;Intraclasse;Bioma;1º ciclo;Em execução;CPB;01/12/2017;2017;01/12/2017;01/12/2017;01/01/2023;2023;Portaria 792 (01/12/2017);02062.000024/2017-16;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_07-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-primatas-amazonicos
CPB_08.02;Primatas do Nordeste - 2º ciclo;Plano de Ação Nacional para a Conservação dos Primatas do Nordeste;Primatas do Nordeste;Intraclasse;Bioma;2º ciclo;Em execução;CPB;27/03/2018;2018;27/03/2018;27/03/2018;01/12/2022;2022;Portaria 242 (27/03/2018);02070.002934/2011-49;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_08-02.jpg;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-primatas-do-nordeste
CPB_09.02;Sauim-de-coleira - 2º ciclo;Plano de Ação Nacional para a Conservação do Sauim-de-coleira;Sauim-de-coleira;Monoespecífico;Específico (distribuição da espécie);2º ciclo;Em execução;CPB;04/04/2018;2018;04/04/2018;04/04/2018;01/01/2023;2023;Portaria 281 (04/04/2018);02070.001873/2011-01;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_09-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sauim-de-coleira
CPB_10.01;Primatas da Mata Atlântica e da Preguiça-de-Coleira;Plano de Ação Nacional para a Conservação dos Primatas da Mata Atlântica e da Preguiça-de-Coleira;Primatas da Mata Atlântica e preguiça-de-coleira;Intraclasse;Bioma;1º ciclo;Em execução;CPB;07/08/2018;2018;07/08/2018;07/08/2018;01/07/2023;2023;Portaria 702 (07/08/2018);02062.000014/2018-61;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_10-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-primatas-ma-e-preguica-de-coleira
CPB_11.01;Tamanduá-bandeira e Tatus;Plano de Ação Nacional para a Conservação do Tamanduá-bandeira, Tatu-canastra e Tatu-bola;Tamanduá-bandeira e Tatus;Intraclasse;Específico (distribuição da espécie);1º ciclo;Em execução;CPB;25/07/2019;2019;27/06/2022;01/07/2022;01/07/2024;2024;Portaria 534 (27/06/2022);02062.000053/2018-69;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cpb_11-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tamandua-bandeira-e-tatu-canastra
RAN_01.01;(Finalizado) Herpetofauna Insular;Plano de Ação Nacional para a Conservação da Herpetofauna Insular Ameaçada de Extinção;Herpetofauna Insular;Multiclasse;Ecossistema;1º ciclo;Finalizado;RAN;27/08/2010;2010;28/05/2013;;01/12/2015;2015;Portaria 194 (28/05/2013);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-insular
RAN_02.01;(Finalizado) Herpetofauna da Serra do Espinhaço;Plano de Ação Nacional para Conservação da Herpetofauna Ameaçada da Serra do Espinhaço;Herpetofauna da Serra do Espinhaço;Multiclasse;Ecossistema;1º ciclo;Finalizado;RAN;17/02/2012;2012;16/12/2016;;01/03/2017;2017;Portaria 109 (16/12/2016);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-espinhaco
RAN_03.01;(Finalizado) Herpetofauna do Sul;Plano de Ação Nacional para Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil;Herpetofauna do Sul;Multiclasse;Bioma;1º ciclo;Finalizado;RAN;17/02/2012;2012;17/02/2012;;01/02/2017;2017;Portaria 25 (17/02/2012);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-sul
RAN_04.01;(Finalizado) Herpetofauna da MA do Nordeste;Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada do Nordeste;Herpetofauna do Nordeste;Multiclasse;Bioma;1º ciclo;Finalizado;RAN;01/07/2013;2013;03/05/2016;;01/07/2018;2018;Portaria 38 (03/05/2016);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-nordeste
RAN_05.01;(Finalizado) Quelônios Amazônicos;Plano de Ação Nacional para Conservação dos Quelônios Amazônicos;Quelônios Amazônicos;Intraclasse;Bioma;1º ciclo;Finalizado;RAN;04/04/2015;2015;04/04/2015;;01/01/2020;2020;Portaria conjunta 01 (04/04/2015);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-quelonios
RAN_06.01;Herpetofauna da MA do Sudeste;Plano de Ação Nacional para Conservação da Herpetofauna Ameaçada de Extinção da Mata Atlântica da Região Sudeste do Brasil;Herpetofauna da MA do Sudeste;Multiclasse;Bioma;1º ciclo;Em execução;RAN;06/10/2015;2015;06/10/2015;;01/12/2020;2020;Portaria 48 (06/10/2015);02071.000021/2013-40;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-sudeste
RAN_07.01;CERPAN;Plano de Ação Nacional para Conservação das Espécies Ameaçadas de Extinção da Ictiofauna, Herpetofauna e Primatas do Cerrado e Pantanal;Cerrado e Pantanal;Multiclasse;Bioma;1º ciclo;Em execução;RAN;09/04/2018;2018;09/04/2018;;01/05/2023;2023;Portaria 293 (09/04/2018);02071.000132/2017-80;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/ran_07-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cerpan
RAN_08.02;Herpetofauna do Espinhaço Mineiro - 2º ciclo;Plano de Ação Nacional para Conservação da Herpetofauna Ameaçada da Serra do Espinhaço;Herpetofauna da Serra do Espinhaço;Multiclasse;Ecossistema;2º ciclo;Em execução;RAN;24/04/2018;2018;24/04/2018;;01/12/2023;2023;Portaria 384 (24/04/2018);02071.000027/2018-21;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/ran_08-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-espinhaco
RAN_09.02;Herpetofauna do Sul - 2º ciclo;Plano de Ação Nacional para Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil;Herpetofauna do Sul;Multiclasse;Bioma;2º ciclo;Em execução;RAN;23/07/2019;2019;23/07/2019;;01/05/2024;2024;Portaria 350 (23/07/2019);02071.000040/2018-81;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/ran_09-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-sul
RAN_10.02;Herpetofauna do Nordeste - 2º ciclo;Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada do Nordeste;Herpetofauna do Nordeste;Multiclasse;Bioma;2º ciclo;Em execução;RAN;28/12/2018;2018;25/07/2019;;01/01/2024;2024;Portaria 354 (25/07/2019);02071.000134/2018-50;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-nordeste
RAN_11.02;(Previsto) Herpetofauna da MA do Sudeste - 2º ciclo;Plano de Ação Nacional para Conservação da Herpetofauna Ameaçada de Extinção da Mata Atlântica da Região Sudeste do Brasil;Herpetofauna da MA do Sudeste;Multiclasse;Bioma;2º ciclo;Previsto;RAN;Previsto;Previsto;;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-do-sudeste
RAN_12.02;(Previsto) CERPAN - 2º ciclo;Plano de Ação Nacional para Conservação das Espécies Ameaçadas de Extinção da Ictiofauna, Herpetofauna e Primatas do Cerrado e Pantanal;Cerrado e Pantanal;Multiclasse;Bioma;2º ciclo;Previsto;RAN;Previsto;Previsto;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/ran_07-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cerpan
TAMAR_01.01;(Finalizado) Tartarugas Marinhas  - 1º ciclo;Plano de Ação Nacional para a Conservação das Tartarugas Marinhas;Tartarugas Marinhas;Intraclasse;Bioma;1º ciclo;Finalizado;TAMAR;23/12/2010;2010;23/12/2010;;01/12/2015;2015;Portaria 135 (23/12/2010);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tartarugas-marinhas
TAMAR_02.02;Tartarugas Marinhas - 2º ciclo;Plano de Ação Nacional para a Conservação das Tartarugas Marinhas;Tartarugas Marinhas;Intraclasse;Bioma;2º ciclo;Em execução;TAMAR;26/04/2017;2017;26/04/2017;;01/05/2023;2023;Portaria 287 (26/04/2017);02044.010042/2016-43;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tartarugas-marinhas
